student_id,group,school,grammar_pre,grammar_post,grammar_delayed,vocab_pre,vocab_post,vocab_delayed,cards_reviewed,review_regularity,mcq_accuracy,maps_completed,time_on_task_min,usability,engagement,usefulness,bilingual_design
S082,Experimental,ElBayadh_Public,31.9,47.3,44.6,25.3,37.2,33.1,162.0,0.635,0.748,7.0,282.0,4.27,4.4,4.01,4.78
S083,Experimental,ElBayadh_Public,26.3,36.4,37.2,18.6,25.6,25.2,119.0,0.417,0.73,5.0,212.0,4.26,4.25,4.51,3.35
S084,Experimental,ElBayadh_Public,21.8,33.7,29.1,12.9,26.9,24.0,115.0,0.517,0.715,4.0,250.0,3.82,4.48,4.54,3.92
S085,Experimental,ElBayadh_Public,29.8,41.0,40.2,30.2,40.3,36.7,141.0,0.778,0.67,6.0,304.0,5.0,3.17,4.94,4.47
S086,Experimental,ElBayadh_Public,26.5,39.3,33.9,26.7,36.9,32.1,147.0,0.705,0.684,7.0,369.0,4.06,3.88,3.64,4.29
S087,Experimental,ElBayadh_Public,14.4,29.8,21.7,20.5,28.8,23.4,117.0,0.396,0.804,4.0,194.0,3.9,3.16,3.43,4.73
S088,Experimental,ElBayadh_Public,22.3,37.6,34.8,22.4,31.7,26.8,203.0,0.69,0.882,8.0,326.0,4.41,4.36,4.46,3.85
S089,Experimental,ElBayadh_Public,28.2,46.4,42.2,17.9,34.7,32.7,152.0,0.856,0.818,8.0,419.0,3.92,4.21,3.71,4.63
S090,Experimental,ElBayadh_Public,24.0,37.5,35.6,21.5,39.0,36.7,182.0,0.674,0.715,7.0,283.0,4.79,3.9,4.84,4.43
S091,Control,ElBayadh_Public,24.2,27.2,18.9,25.5,21.5,22.5,,,,,,,,,
S092,Control,ElBayadh_Public,20.7,25.8,20.6,26.1,27.9,21.4,,,,,,,,,
S093,Control,ElBayadh_Public,30.2,36.1,31.4,27.1,28.4,22.7,,,,,,,,,
S094,Control,ElBayadh_Public,24.7,32.1,34.2,26.0,24.8,23.7,,,,,,,,,
S095,Control,ElBayadh_Public,21.8,20.3,18.8,24.5,24.9,14.7,,,,,,,,,
S096,Control,ElBayadh_Public,34.8,36.7,35.6,23.5,20.8,17.1,,,,,,,,,
S097,Control,ElBayadh_Public,18.0,16.2,14.1,25.5,28.9,24.0,,,,,,,,,
S098,Control,ElBayadh_Public,26.5,32.1,30.1,18.1,23.0,19.0,,,,,,,,,
S099,Control,ElBayadh_Public,15.7,19.8,14.3,24.1,26.7,18.9,,,,,,,,,
S100,Control,ElBayadh_Public,30.0,35.3,26.5,24.5,33.3,32.4,,,,,,,,,
S101,Control,ElBayadh_Public,18.4,18.3,17.6,34.9,36.5,31.4,,,,,,,,,
S102,Control,ElBayadh_Public,23.4,24.4,22.1,22.1,22.5,12.8,,,,,,,,,
S103,Control,ElBayadh_Public,25.8,27.3,23.8,31.3,32.2,34.8,,,,,,,,,
S104,Control,ElBayadh_Public,15.7,12.0,11.0,15.1,22.1,18.2,,,,,,,,,
S105,Control,ElBayadh_Public,31.7,37.1,35.3,28.5,33.0,27.2,,,,,,,,,
S106,Control,ElBayadh_Public,20.5,25.2,22.6,29.4,29.0,27.9,,,,,,,,,
S107,Control,ElBayadh_Public,24.5,25.1,21.1,28.0,32.7,27.1,,,,,,,,,
S108,Control,ElBayadh_Public,33.3,33.3,25.1,33.7,35.1,28.5,,,,,,,,,
S109,Control,ElBayadh_Public,24.4,22.0,18.4,23.5,21.8,15.4,,,,,,,,,
S110,Control,ElBayadh_Public,33.1,37.0,34.8,21.2,22.3,16.4,,,,,,,,,
S111,Control,ElBayadh_Public,23.8,25.3,18.8,36.4,39.7,33.7,,,,,,,,,
S112,Control,ElBayadh_Public,21.3,24.0,22.1,25.7,30.7,25.1,,,,,,,,,
S113,Control,ElBayadh_Public,27.6,34.9,31.8,35.2,39.3,36.9,,,,,,,,,
S114,Control,ElBayadh_Public,24.1,32.0,27.1,22.4,24.7,17.8,,,,,,,,,
S115,Control,ElBayadh_Public,11.0,16.4,12.2,13.9,17.7,17.0,,,,,,,,,
S116,Control,ElBayadh_Public,23.9,29.3,24.9,38.0,39.7,36.7,,,,,,,,,
S117,Control,ElBayadh_Public,11.2,16.8,16.7,27.5,28.6,27.5,,,,,,,,,
S118,Control,ElBayadh_Public,18.2,15.0,9.4,26.3,31.6,28.2,,,,,,,,,
S119,Control,ElBayadh_Public,9.1,15.8,18.8,20.0,22.0,20.9,,,,,,,,,
S120,Control,ElBayadh_Public,28.8,33.0,27.6,21.9,30.5,27.0,,,,,,,,,
